source,target,name,status,verified,dedupe_by,match_score,reason
/hausarzt/erfurt/dipl-med-heike-hanke-fachaerztin-f-allgemeinmedizin-3347,https://navoria.de/praxis/erfurt/dipl-med-heike-hanke-fachaerztin-f-allgemeinmedizin-5H8hSg,Dipl.-Med. Heike Hanke Fachärztin f. Allgemeinmedizin,PLACES_FOUND_EXISTING,yes,google_place_id,0.9,
/hausarzt/erfurt/praxis-fr-allgemeinmedizin-wolfgang-arand-erfurt,https://navoria.de/praxis/erfurt/praxis-fuer-allgemeinmedizin-wolfgang-arand-phytEU,Praxis für Allgemeinmedizin Wolfgang Arand,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/erkelenz/praxis-dr-beate-abuzahra-2652,https://navoria.de/praxis/moenchengladbach/praxis-dr-beate-abuzahra-yxMXx4,Praxis Dr. Beate Abuzahra,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/erlangen/drmed-christian-dbig-erlangen,https://navoria.de/praxis/erlangen/drmed-christian-doebig-a1NHSI,Dr.med. Christian Döbig,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/eschborn/doctor-ivona-djoric-eschborn,https://navoria.de/praxis/eschborn/doctor-ivona-djoric-4sa4zU,Doctor Ivona Djoric,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/esslingen-am-neckar/frau-dr-med-elena-samorej-1107,https://navoria.de/praxis/esslingen-am-neckar/frau-dr-med-elena-samorej-52oldo,Frau Dr. med. Elena Samorej,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich,https://navoria.de/praxis/esslingen-am-neckar/herr-dr-imf-klausenburg-roland-henrich-H1TAQc,Herr Dr. (IMF Klausenburg) Roland Henrich,MATCHED_PHASE2,yes,,,street+plz+name
/hausarzt/euskirchen/dr-med-elsbeth-brammertz-euskirchen,https://navoria.de/praxis/euskirchen/dr-med-maximilian-brammertz-yQyDyo,Dr. med. Maximilian Brammertz,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/falkensee/hausarztpraxis-daniel-bernau-facharzt-fr-allgemeinmedizin-falkensee,https://navoria.de/praxis/falkensee/hausarztpraxis-daniel-bernau-facharzt-fuer-allgemeinmedizin-21_qSU,Hausarztpraxis - Daniel Bernau - Facharzt für Allgemeinmedizin,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/felsberg/frau-dr-med-karin-schte-felsberg,https://navoria.de/praxis/felsberg/frau-dr-med-karin-schuete-xuJJG0,Frau Dr. med. Karin Schüte,PLACES_IMPORTED_NEW,yes,,0.98,
/hausarzt/flensburg/frau-dr-med-ingrid-muhs-flensburg,https://navoria.de/praxis/flensburg/dres-oelsner-muhs-und-partner-hUfxSE,"Dres. Oelsner, Muhs und Partner",MATCHED_PHASE2,yes,,,street+plz+name
